non_persistent_voters,size
0,162
1,212
2,262
3,312
4,362
5,412
6,462
7,512
8,563
9,613
10,663
11,713
12,763
13,813
14,863
15,913
16,964
17,1014
18,1064
19,1114
20,1164
21,1214
22,1264
23,1314
24,1366
25,1416
26,1466
27,1516
28,1566
29,1616
30,1666
31,1716
32,1767
33,1817
34,1867
35,1917
36,1967
37,2017
38,2067
39,2117
40,2168
41,2218
42,2268
43,2318
44,2368
45,2418
46,2468
47,2518
48,2569
49,2619
50,2669
51,2719
52,2769
53,2819
54,2869
55,2919
56,2970
57,3020
58,3070
59,3120
60,3170
61,3220
62,3270
63,3320
64,3371
65,3421
66,3471
67,3521
68,3571
69,3621
70,3671
71,3721
72,3772
73,3822
74,3872
75,3922
76,3972
77,4022
78,4072
79,4122
80,4173
81,4223
82,4273
83,4323
84,4373
85,4423
86,4473
87,4523
88,4574
89,4624
90,4674
91,4724
92,4774
93,4824
94,4874
95,4924
96,4975
97,5025
98,5075
99,5125
100,5175
101,5225
102,5275
103,5325
104,5376
105,5426
106,5476
107,5526
108,5576
109,5626
110,5676
111,5726
112,5777
113,5827
114,5877
115,5927
116,5977
117,6027
118,6077
119,6127
120,6178
121,6228
122,6278
123,6328
124,6378
125,6428
126,6478
127,6528
128,6579
129,6629
130,6679
131,6729
132,6779
133,6829
134,6879
135,6929
136,6980
137,7030
138,7080
139,7130
140,7180
141,7230
142,7280
143,7330
144,7381
145,7431
146,7481
147,7531
148,7581
149,7631
150,7681
151,7731
152,7782
153,7832
154,7882
155,7932
156,7982
157,8032
158,8082
159,8132
160,8183
161,8233
162,8283
163,8333
164,8383
165,8433
166,8483
167,8533
168,8584
169,8634
170,8684
171,8734
172,8784
173,8834
174,8884
175,8934
176,8985
177,9035
178,9085
179,9135
180,9185
181,9235
182,9285
183,9335
184,9387
185,9437
186,9487
187,9537
188,9587
189,9637
190,9687
191,9737
192,9788
193,9838
194,9888
195,9938
196,9988
197,10038
198,10088
199,10138
200,10189
201,10239
202,10289
203,10339
204,10389
205,10439
206,10489
207,10539
208,10590
209,10640
210,10690
211,10740
212,10790
213,10840
214,10890
215,10940
216,10991
217,11041
218,11091
219,11141
220,11191
221,11241
222,11291
223,11341
224,11392
225,11442
226,11492
227,11542
228,11592
229,11642
230,11692
231,11742
232,11793
233,11843
234,11893
235,11943
236,11993
237,12043
238,12093
239,12143
240,12194
241,12244
242,12294
243,12344
244,12394
245,12444
246,12494
247,12544
248,12595
249,12645
250,12695
251,12745
252,12795
253,12845
254,12895
255,12945
256,12997
257,13047
258,13097
259,13147
260,13197
261,13247
262,13297
263,13347
264,13398
265,13448
266,13498
267,13548
268,13598
269,13648
270,13698
271,13748
272,13799
273,13849
274,13899
275,13949
276,13999
277,14049
278,14099
279,14149
280,14200
281,14250
282,14300
283,14350
284,14400
285,14450
286,14500
287,14550
288,14601
289,14651
290,14701
291,14751
292,14801
293,14851
294,14901
295,14951
296,15002
297,15052
298,15102
299,15152
300,15202
301,15252
302,15302
303,15352
304,15403
305,15453
306,15503
307,15553
308,15603
309,15653
310,15703
311,15753
312,15804
313,15854
314,15904
315,15954
316,16004
317,16054
318,16104
319,16154
320,16205
321,16255
322,16305
323,16355
324,16405
325,16455
326,16505
327,16555
328,16606
329,16656
330,16706
331,16756
332,16806
333,16856
334,16906
335,16956
336,17007
337,17057
338,17107
339,17157
340,17207
341,17257
342,17307
343,17357
344,17408
345,17458
346,17508
347,17558
348,17608
349,17658
350,17708
351,17758
352,17809
353,17859
354,17909
355,17959
356,18009
357,18059
358,18109
359,18159
360,18210
361,18260
362,18310
363,18360
364,18410
365,18460
366,18510
367,18560
368,18611
369,18661
370,18711
371,18761
372,18811
373,18861
374,18911
375,18961
376,19012
377,19062
378,19112
379,19162
380,19212
381,19262
382,19312
383,19362
384,19413
385,19463
386,19513
387,19563
388,19613
389,19663
390,19713
391,19763
392,19814
393,19864
394,19914
395,19964
396,20014
397,20064
398,20114
399,20164
400,20215
401,20265
402,20315
403,20365
404,20415
405,20465
406,20515
407,20565
408,20616
409,20666
410,20716
411,20766
412,20816
413,20866
414,20916
415,20966
416,21017
417,21067
418,21117
419,21167
420,21217
421,21267
422,21317
423,21367
424,21418
425,21468
426,21518
427,21568
428,21618
429,21668
430,21718
431,21768
432,21819
433,21869
434,21919
435,21969
436,22019
437,22069
438,22119
439,22169
440,22220
441,22270
442,22320
443,22370
444,22420
445,22470
446,22520
447,22570
448,22621
449,22671
450,22721
451,22771
452,22821
453,22871
454,22921
455,22971
456,23022
457,23072
458,23122
459,23172
460,23222
461,23272
462,23322
463,23372
464,23423
465,23473
466,23523
467,23573
468,23623
469,23673
470,23723
471,23773
472,23824
473,23874
474,23924
475,23974
476,24024
477,24074
478,24124
479,24174
480,24225
481,24275
482,24325
483,24375
484,24425
485,24475
486,24525
487,24575
488,24626
489,24676
490,24726
491,24776
492,24826
493,24876
494,24926
495,24976
496,25027
497,25077
498,25127
499,25177
500,25227
501,25277
502,25327
503,25377
504,25428
505,25478
506,25528
507,25578
508,25628
509,25678
510,25728
511,25778
512,25829
513,25879
514,25929
515,25979
516,26029
517,26079
518,26129
519,26179
520,26230
521,26280
522,26330
523,26380
524,26430
525,26480
526,26530
527,26580
528,26631
529,26681
530,26731
531,26781
532,26831
533,26881
534,26931
535,26981
536,27032
537,27082
538,27132
539,27182
540,27232
541,27282
542,27332
543,27382
544,27433
545,27483
546,27533
547,27583
548,27633
549,27683
550,27733
551,27783
552,27834
553,27884
554,27934
555,27984
556,28034
557,28084
558,28134
559,28184
560,28235
561,28285
562,28335
563,28385
564,28435
565,28485
566,28535
567,28585
568,28636
569,28686
570,28736
571,28786
572,28836
573,28886
574,28936
575,28986
576,29037
577,29087
578,29137
579,29187
580,29237
581,29287
582,29337
583,29387
584,29438
585,29488
586,29538
587,29588
588,29638
589,29688
590,29738
591,29788
592,29839
593,29889
594,29939
595,29989
596,30039
597,30089
598,30139
599,30189
600,30240
601,30290
602,30340
603,30390
604,30440
605,30490
606,30540
607,30590
608,30641
609,30691
610,30741
611,30791
612,30841
613,30891
614,30941
615,30991
616,31042
617,31092
618,31142
619,31192
620,31242
621,31292
622,31342
623,31392
624,31443
625,31493
626,31543
627,31593
628,31643
629,31693
630,31743
631,31793
632,31844
633,31894
634,31944
635,31994
636,32044
637,32094
638,32144
639,32194
640,32245
641,32295
642,32345
643,32395
644,32445
645,32495
646,32545
647,32595
648,32646
649,32696
650,32746
651,32796
652,32846
653,32896
654,32946
655,32996
656,33047
657,33097
658,33147
659,33197
660,33247
661,33297
662,33347
663,33397
664,33448
665,33498
666,33548
667,33598
668,33648
669,33698
670,33748
671,33798
672,33849
673,33899
674,33949
675,33999
676,34049
677,34099
678,34149
679,34199
680,34250
681,34300
682,34350
683,34400
684,34450
685,34500
686,34550
687,34600
688,34651
689,34701
690,34751
691,34801
692,34851
693,34901
694,34951
695,35001
696,35052
697,35102
698,35152
699,35202
700,35252
701,35302
702,35352
703,35402
704,35453
705,35503
706,35553
707,35603
708,35653
709,35703
710,35753
711,35803
712,35854
713,35904
714,35954
715,36004
716,36054
717,36104
718,36154
719,36204
720,36255
721,36305
722,36355
723,36405
724,36455
725,36505
726,36555
727,36605
728,36656
729,36706
730,36756
731,36806
732,36856
733,36906
734,36956
735,37006
736,37057
737,37107
738,37157
739,37207
740,37257
741,37307
742,37357
743,37407
744,37458
745,37508
746,37558
747,37608
748,37658
749,37708
750,37758
751,37808
752,37859
753,37909
754,37959
755,38009
756,38059
757,38109
758,38159
759,38209
760,38260
761,38310
762,38360
763,38410
764,38460
765,38510
766,38560
767,38610
768,38661
769,38711
770,38761
771,38811
772,38861
773,38911
774,38961
775,39011
776,39062
777,39112
778,39162
779,39212
780,39262
781,39312
782,39362
783,39412
784,39463
785,39513
786,39563
787,39613
788,39663
789,39713
790,39763
791,39813
792,39864
793,39914
794,39964
795,40014
796,40064
797,40114
798,40164
799,40214
800,40265
801,40315
802,40365
803,40415
804,40465
805,40515
806,40565
807,40615
808,40666
809,40716
810,40766
811,40816
812,40866
813,40916
814,40966
815,41016
816,41067
817,41117
818,41167
819,41217
820,41267
821,41317
822,41367
823,41417
824,41468
825,41518
826,41568
827,41618
828,41668
829,41718
830,41768
831,41818
832,41869
833,41919
834,41969
835,42019
836,42069
837,42119
838,42169
839,42219
840,42270
841,42320
842,42370
843,42420
844,42470
845,42520
846,42570
847,42620
848,42671
849,42721
850,42771
851,42821
852,42871
853,42921
854,42971
855,43021
856,43072
857,43122
858,43172
859,43222
860,43272
861,43322
862,43372
863,43422
864,43473
865,43523
866,43573
867,43623
868,43673
869,43723
870,43773
871,43823
872,43874
873,43924
874,43974
875,44024
876,44074
877,44124
878,44174
879,44224
880,44275
881,44325
882,44375
883,44425
884,44475
885,44525
886,44575
887,44625
888,44676
889,44726
890,44776
891,44826
892,44876
893,44926
894,44976
895,45026
896,45077
897,45127
898,45177
899,45227
900,45277
901,45327
902,45377
903,45427
904,45478
905,45528
906,45578
907,45628
908,45678
909,45728
910,45778
911,45828
912,45879
913,45929
914,45979
915,46029
916,46079
917,46129
918,46179
919,46229
920,46280
921,46330
922,46380
923,46430
924,46480
925,46530
926,46580
927,46630
928,46681
929,46731
930,46781
931,46831
932,46881
933,46931
934,46981
935,47031
936,47082
937,47132
938,47182
939,47232
940,47282
941,47332
942,47382
943,47432
944,47483
945,47533
946,47583
947,47633
948,47683
949,47733
950,47783
951,47833
952,47884
953,47934
954,47984
955,48034
956,48084
957,48134
958,48184
959,48234
960,48285
961,48335
962,48385
963,48435
964,48485
965,48535
966,48585
967,48635
968,48686
969,48736
970,48786
971,48836
972,48886
973,48936
974,48986
975,49036
976,49087
977,49137
978,49187
979,49237
980,49287
981,49337
982,49387
983,49437
984,49488
985,49538
986,49588
987,49638
988,49688
989,49738
990,49788
991,49838
992,49889
993,49939
994,49989
995,50039
996,50089
997,50139
998,50189
999,50239
1000,50290
1001,50340
1002,50390
1003,50440
1004,50490
1005,50540
1006,50590
1007,50640
1008,50691
1009,50741
1010,50791
1011,50841
1012,50891
1013,50941
1014,50991
1015,51041
1016,51092
1017,51142
1018,51192
1019,51242
1020,51292
1021,51342
1022,51392
1023,51442
1024,51493
1025,51543
1026,51593
1027,51643
1028,51693
1029,51743
1030,51793
1031,51843
1032,51894
1033,51944
1034,51994
1035,52044
1036,52094
1037,52144
1038,52194
1039,52244
1040,52295
1041,52345
1042,52395
1043,52445
1044,52495
1045,52545
1046,52595
1047,52645
1048,52696
1049,52746
1050,52796
1051,52846
1052,52896
1053,52946
1054,52996
1055,53046
1056,53097
1057,53147
1058,53197
1059,53247
1060,53297
1061,53347
1062,53397
1063,53447
1064,53498
